DATE,PM1,PM2,COEFF1,COEFF2
6/8/1995,0119,1403,52,53
7/8/1995,0243,1520,56,61
8/8/1995,0356,1624,67,74
9/8/1995,0456,1720,81,87
10/8/1995,0549,1811,93,98
11/8/1995,0637,1858,101,104
12/8/1995,0722,1942,105,104
13/8/1995,0804,2023,103,100
14/8/1995,0842,2100,96,91
15/8/1995,0917,2136,85,79
16/8/1995,0951,2213,72,65
17/8/1995,1031,2259,58,51
18/8/1995,1124,,44,
19/8/1995,0000,1234,39,35
20/8/1995,0113,1352,32,32
21/8/1995,0233,1510,35,38
22/8/1995,0342,1607,44,49
23/8/1995,0432,1650,55,60
24/8/1995,0512,1729,66,71
25/8/1995,0550,1806,75,80
26/8/1995,0626,1841,84,87
27/8/1995,0700,1916,89,91
28/8/1995,0734,1950,93,93
29/8/1995,0808,2025,93,91
30/8/1995,0845,2104,89,86
31/8/1995,0926,2148,81,77
1/9/1995,1012,2239,71,65
2/9/1995,1108,2343,59,54
3/9/1995,1221,,50,
4/9/1995,0107,1350,48,49
5/9/1995,0236,1510,53,58
6/9/1995,0348,1614,65,72
7/9/1995,0445,1708,80,86
8/9/1995,0535,1755,92,96
9/9/1995,0619,1838,99,101
10/9/1995,0659,1917,102,102
11/9/1995,0737,1954,100,98
12/9/1995,0811,2028,94,90
13/9/1995,0842,2100,84,79
14/9/1995,0914,2134,72,66
15/9/1995,0949,2214,58,52
16/9/1995,1033,2308,45,39
17/9/1995,1137,,34,
18/9/1995,0024,1300,30,29
19/9/1995,0148,1421,30,33
20/9/1995,0301,1527,39,45
21/9/1995,0355,1615,51,58
22/9/1995,0439,1658,65,71
23/9/1995,0518,1737,77,82
24/9/1995,0457,1715,87,91
25/9/1995,0534,1751,95,97
26/9/1995,0610,1827,99,100
27/9/1995,0646,1905,99,98
28/9/1995,0725,1946,95,91
29/9/1995,0807,2032,86,80
30/9/1995,0856,2125,73,67
1/10/1995,0954,2233,60,54
2/10/1995,1111,,50,
3/10/1995,0002,1241,48,49
4/10/1995,0127,1357,53,58
5/10/1995,0235,1459,64,71
6/10/1995,0330,1551,77,83
7/10/1995,0416,1635,88,91
8/10/1995,0457,1714,94,96
9/10/1995,0534,1751,96,96
10/10/1995,0608,1826,95,93
11/10/1995,0641,1859,90,86
12/10/1995,0713,1931,82,77
13/10/1995,0744,2004,72,66
14/10/1995,0817,2041,60,55
15/10/1995,0856,2127,48,43
16/10/1995,0948,2231,38,33
17/10/1995,1101,2353,31,30
18/10/1995,1224,,32,
19/10/1995,0108,1335,36,42
20/10/1995,0209,1432,48,55
21/10/1995,0259,1521,62,69
22/10/1995,0345,1606,76,82
23/10/1995,0427,1648,88,93
24/10/1995,0508,1728,97,100
25/10/1995,0547,1808,102,103
26/10/1995,0627,1849,103,102
27/10/1995,0710,1933,99,95
28/10/1995,0756,2022,90,84
29/10/1995,0847,2118,77,71
30/10/1995,0947,2228,64,58
31/10/1995,1103,2351,54,52
1/11/1995,1223,,52,
2/11/1995,0107,1335,54,57
3/11/1995,0213,1437,62,67
4/11/1995,0307,1528,71,76
5/11/1995,0353,1612,79,83
6/11/1995,0432,1651,85,87
7/11/1995,0508,1726,88,88
8/11/1995,0542,1801,87,86
9/11/1995,0616,1835,85,83
10/11/1995,0649,1909,80,77
11/11/1995,0722,1942,73,69
12/11/1995,0754,2017,64,60
13/11/1995,0831,2058,55,50
14/11/1995,0916,2151,46,42
15/11/1995,1014,2258,39,37
16/11/1995,1125,,36,
17/11/1995,0011,1238,38,41
18/11/1995,0119,1344,46,52
19/11/1995,0217,1442,58,65
20/11/1995,0310,1534,72,78
21/11/1995,0358,1622,85,90
22/11/1995,0444,1708,95,99
23/11/1995,0529,1753,103,104
24/11/1995,0614,1839,105,105
25/11/1995,0700,1926,103,100
26/11/1995,0748,2016,95,90
27/11/1995,0840,2110,84,78
28/11/1995,0938,2214,72,66
29/11/1995,1044,2325,61,57
30/11/1995,1154,,54,
1/12/1995,0034,1301,53,54
2/12/1995,0141,1405,56,58
3/12/1995,0239,1501,61,65
4/12/1995,0328,1548,68,71
5/12/1995,0410,1628,74,76
6/12/1995,0446,1705,78,79
7/12/1995,0521,1741,80,81
8/12/1995,0556,1817,80,80
9/12/1995,0631,1851,79,77
10/12/1995,0704,1924,75,73
11/12/1995,0737,1958,70,68
12/12/1995,0812,2036,64,61
13/12/1995,0852,2120,57,54
14/12/1995,0940,2214,50,48
15/12/1995,1038,2317,45,44
16/12/1995,1144,,44,
17/12/1995,0026,1255,46,49
18/12/1995,0134,1403,54,59
19/12/1995,0236,1505,65,72
20/12/1995,0332,1600,78,85
21/12/1995,0425,1652,91,96
22/12/1995,0514,1741,101,104
23/12/1995,0603,1830,106,107
24/12/1995,0651,1918,107,106
25/12/1995,0740,2006,103,99
26/12/1995,0829,2055,94,88
27/12/1995,0920,2148,81,75
28/12/1995,1015,2247,68,62
29/12/1995,1115,2350,56,52
30/12/1995,1218,,49,
31/12/1995,0056,1325,48,48
1/1/1996,0203,1431,49,52
2/1/1996,0301,1525,55,59
3/1/1996,0348,1610,62,66
4/1/1996,0428,1649,69,72
5/1/1996,0505,1725,75,77
6/1/1996,0540,1800,78,80
7/1/1996,0614,1834,80,81
8/1/1996,0648,1907,81,80
9/1/1996,0720,1939,79,77
10/1/1996,0753,2013,75,73
11/1/1996,0829,2053,70,67
12/1/1996,0911,2138,63,59
13/1/1996,1001,2233,56,53
14/1/1996,1100,2339,50,48
15/1/1996,1210,,48,
16/1/1996,0053,1328,50,53
17/1/1996,0207,1441,58,65
18/1/1996,0312,1544,71,79
19/1/1996,0409,1639,86,93
20/1/1996,0502,1730,99,104
21/1/1996,0551,1818,108,110
22/1/1996,0639,1904,112,111
23/1/1996,0725,1949,109,106
24/1/1996,0809,2032,101,95
25/1/1996,0853,2114,88,81
26/1/1996,0937,2201,73,66
27/1/1996,1028,2257,58,51
28/1/1996,1129,,45,
29/1/1996,0004,1238,41,39
30/1/1996,0118,1356,39,41
31/1/1996,0232,1503,44,48
1/2/1996,0327,1551,53,58
2/2/1996,0409,1631,63,67
3/2/1996,0446,1706,71,75
4/2/1996,0521,1741,78,81
5/2/1996,0555,1814,84,85
6/2/1996,0628,1846,87,87
7/2/1996,0700,1917,87,87
8/2/1996,0732,1950,85,84
9/2/1996,0807,2027,81,78
10/2/1996,0846,2109,74,69
11/2/1996,0932,2200,64,60
12/2/1996,1028,2302,55,51
13/2/1996,1138,,48,
14/2/1996,0021,1304,47,49
15/2/1996,0145,1426,53,59
16/2/1996,0257,1531,67,75
17/2/1996,0356,1626,83,91
18/2/1996,0448,1716,98,103
19/2/1996,0537,1802,108,111
20/2/1996,0622,1845,113,112
21/2/1996,0705,1925,111,108
22/2/1996,0744,2003,103,98
23/2/1996,0822,2039,91,84
24/2/1996,0859,2117,76,68
25/2/1996,0942,2204,60,52
26/2/1996,1038,2309,45,39
27/2/1996,1150,,34,
28/2/1996,0027,1314,32,33
29/2/1996,0152,1433,35,40
1/3/1996,0258,1525,46,51
2/3/1996,0343,1605,57,63
3/3/1996,0421,1641,68,73
4/3/1996,0456,1715,78,82
5/3/1996,0531,1749,86,89
6/3/1996,0605,1822,91,93
7/3/1996,0637,1854,94,94
8/3/1996,0710,1928,93,92
9/3/1996,0745,2005,89,85
10/3/1996,0825,2047,81,76
11/3/1996,0911,2137,70,64
12/3/1996,1007,2239,58,53
13/3/1996,1119,,49,
14/3/1996,0000,1251,47,48
15/3/1996,0131,1414,52,57
16/3/1996,0243,1518,65,73
17/3/1996,0342,1611,81,88
18/3/1996,0432,1658,95,100
19/3/1996,0518,1741,104,107
20/3/1996,0600,1821,108,108
21/3/1996,0640,1859,106,104
22/3/1996,0717,1934,100,95
23/3/1996,0751,2007,89,83
24/3/1996,0826,2041,76,68
25/3/1996,0905,2122,61,54
26/3/1996,0954,2217,46,40
27/3/1996,1102,2333,35,31
28/3/1996,1223,,30,
29/3/1996,0056,1343,31,35
30/3/1996,0210,1443,40,46
31/3/1996,0403,1628,52,58
1/4/1996,0446,1707,65,70
2/4/1996,0525,1745,76,81
3/4/1996,0603,1821,86,89
4/4/1996,0638,1856,93,95
5/4/1996,0713,1931,97,98
6/4/1996,0748,2007,97,96
7/4/1996,0827,2047,93,90
8/4/1996,0909,2132,85,80
9/4/1996,0958,2224,74,68
10/4/1996,1056,2328,62,56
11/4/1996,1212,,52,
12/4/1996,0050,1342,50,50
13/4/1996,0215,1459,53,58
14/4/1996,0324,1600,64,71
15/4/1996,0423,1652,77,83
16/4/1996,0512,1737,88,92
17/4/1996,0556,1817,95,97
18/4/1996,0636,1855,98,98
19/4/1996,0714,1931,97,95
20/4/1996,0750,2006,92,89
21/4/1996,0825,2039,84,80
22/4/1996,0859,2113,74,68
23/4/1996,0935,2151,62,56
24/4/1996,1018,2237,50,45
25/4/1996,1115,2340,40,36
26/4/1996,1228,,33,
27/4/1996,0056,1343,33,34
28/4/1996,0208,1447,37,42
29/4/1996,0310,1541,48,54
30/4/1996,0403,1628,60,66
1/5/1996,0449,1711,72,77
2/5/1996,0531,1752,83,87
3/5/1996,0612,1831,91,95
4/5/1996,0651,1910,97,98
5/5/1996,0731,1951,99,98
6/5/1996,0813,2035,96,93
7/5/1996,0859,2123,89,85
8/5/1996,0950,2217,79,74
9/5/1996,1050,2321,68,63
10/5/1996,1204,,59,
11/5/1996,0037,1324,56,55
12/5/1996,0152,1434,56,59
13/5/1996,0300,1536,62,66
14/5/1996,0358,1628,70,74
15/5/1996,0449,1713,78,81
16/5/1996,0532,1753,83,85
17/5/1996,0612,1830,86,86
18/5/1996,0650,1907,86,85
19/5/1996,0726,1942,84,82
20/5/1996,0802,2016,80,77
21/5/1996,0836,2050,73,69
22/5/1996,0911,2126,65,61
23/5/1996,0950,2206,56,52
24/5/1996,1036,2257,48,45
25/5/1996,1134,2359,42,40
26/5/1996,1242,,39,
27/5/1996,0108,1349,40,42
28/5/1996,0214,1450,45,50
29/5/1996,0315,1546,55,61
30/5/1996,0410,1636,67,73
31/5/1996,0500,1723,78,83
1/6/1996,0547,1809,88,92
2/6/1996,0633,1853,96,98
3/6/1996,0718,1939,100,100
4/6/1996,0804,2026,99,98
5/6/1996,0852,2116,95,91
6/6/1996,0943,2209,87,82
7/6/1996,1040,2309,76,71
8/6/1996,1146,,66,
9/6/1996,0015,1255,62,59
10/6/1996,0123,1402,57,57
11/6/1996,0228,1505,57,59
12/6/1996,0330,1601,61,64
13/6/1996,0424,1649,66,69
14/6/1996,0510,1731,71,73
15/6/1996,0551,1809,75,76
16/6/1996,0629,1846,78,78
17/6/1996,0706,1922,78,78
18/6/1996,0742,1956,77,76
19/6/1996,0816,2030,74,72
20/6/1996,0849,2103,70,67
21/6/1996,0924,2140,64,61
22/6/1996,1003,2222,58,55
23/6/1996,1050,2313,52,49
24/6/1996,1147,,47,
25/6/1996,0013,1252,45,45
26/6/1996,0119,1359,46,48
27/6/1996,0227,1504,52,56
28/6/1996,0333,1604,61,67
29/6/1996,0433,1659,73,79
30/6/1996,0527,1750,85,90
1/7/1996,0618,1840,95,99
2/7/1996,0706,1928,102,104
3/7/1996,0754,2016,105,104
4/7/1996,0842,2105,102,99
5/7/1996,0930,2154,95,90
6/7/1996,1021,2247,84,78
7/7/1996,1116,2344,72,66
8/7/1996,1217,,60,
9/7/1996,0046,1322,56,52
10/7/1996,0151,1429,50,50
11/7/1996,0258,1533,50,53
12/7/1996,0401,1628,55,59
13/7/1996,0453,1712,62,65
14/7/1996,0534,1751,68,71
15/7/1996,0612,1827,73,75
16/7/1996,0647,1902,76,77
17/7/1996,0722,1936,78,78
18/7/1996,0754,2008,78,78
19/7/1996,0826,2040,76,75
20/7/1996,0858,2113,73,71
21/7/1996,0933,2151,68,65
22/7/1996,1014,2236,61,58
23/7/1996,1103,2329,54,51
24/7/1996,1203,,49,
25/7/1996,0034,1314,47,47
26/7/1996,0148,1429,49,52
27/7/1996,0303,1539,57,63
28/7/1996,0412,1640,69,77
29/7/1996,0511,1735,84,90
30/7/1996,0603,1826,97,102
31/7/1996,0653,1914,106,109
1/8/1996,0740,2001,110,110
2/8/1996,0825,2047,108,105
3/8/1996,0909,2131,101,95
4/8/1996,0953,2216,88,81
5/8/1996,1039,2306,74,66
6/8/1996,1132,,59,
7/8/1996,0004,1236,52,47
8/8/1996,0111,1349,43,41
9/8/1996,0224,1505,41,43
10/8/1996,0338,1608,47,51
11/8/1996,0433,1654,55,60
12/8/1996,0515,1732,64,68
13/8/1996,0552,1807,72,75
14/8/1996,0625,1840,78,80
15/8/1996,0658,1913,81,83
16/8/1996,0730,1944,83,84
17/8/1996,0801,2015,83,82
18/8/1996,0832,2047,81,79
19/8/1996,0905,2123,76,73
20/8/1996,0944,2205,69,65
21/8/1996,1030,2257,60,56
22/8/1996,1128,,51,
23/8/1996,0001,1240,48,46
24/8/1996,0120,1403,46,49
25/8/1996,0245,1521,53,60
26/8/1996,0357,1625,68,76
27/8/1996,0456,1720,84,92
28/8/1996,0548,1810,99,104
29/8/1996,0636,1856,109,111
30/8/1996,0721,1941,113,112
31/8/1996,0803,2023,110,107
1/9/1996,0843,2103,102,96
2/9/1996,0922,2143,89,81
3/9/1996,1000,2226,73,65
4/9/1996,1046,2319,57,49
5/9/1996,1148,,42,
6/9/1996,0029,1305,38,34
7/9/1996,0148,1429,34,36
8/9/1996,0309,1541,40,45
9/9/1996,0407,1629,51,56
10/9/1996,0449,1706,62,67
11/9/1996,0525,1741,71,75
12/9/1996,0558,1814,79,82
13/9/1996,0632,1847,85,87
14/9/1996,0704,1919,88,89
15/9/1996,0735,1950,89,88
16/9/1996,0807,2023,87,85
17/9/1996,0841,2100,82,78
18/9/1996,0921,2143,74,69
19/9/1996,1007,2235,64,58
20/9/1996,1105,2341,53,49
21/9/1996,1219,,46,
22/9/1996,0105,1347,46,48
23/9/1996,0234,1507,53,60
24/9/1996,0344,1609,68,76
25/9/1996,0440,1703,85,92
26/9/1996,0530,1751,98,103
27/9/1996,0615,1836,107,109
28/9/1996,0658,1918,110,109
29/9/1996,0738,1958,107,103
30/9/1996,0816,2035,99,93
1/10/1996,0851,2112,86,79
2/10/1996,0927,2150,71,64
3/10/1996,1007,2238,56,49
4/10/1996,1101,2344,42,36
5/10/1996,1216,,32,
6/10/1996,0104,1338,31,32
7/10/1996,0223,1453,36,40
8/10/1996,0326,1549,46,52
9/10/1996,0412,1631,58,63
10/10/1996,0451,1709,69,74
11/10/1996,0527,1745,78,82
12/10/1996,0603,1821,86,88
13/10/1996,0637,1854,91,92
14/10/1996,0711,1928,93,92
15/10/1996,0745,2003,91,89
16/10/1996,0822,2043,87,83
17/10/1996,0905,2129,78,73
18/10/1996,0954,2223,68,62
19/10/1996,1053,2330,57,52
20/10/1996,1207,,49,
21/10/1996,0057,1334,49,51
22/10/1996,0220,1449,55,61
23/10/1996,0326,1551,68,75
24/10/1996,0421,1644,82,88
25/10/1996,0509,1731,93,97
26/10/1996,0553,1814,100,101
27/10/1996,0534,1754,102,101
28/10/1996,0613,1833,99,96
29/10/1996,0650,1910,93,88
30/10/1996,0725,1946,83,77
31/10/1996,0800,2022,71,65
1/11/1996,0837,2104,58,52
2/11/1996,0922,2158,46,41
3/11/1996,1023,2311,36,33
4/11/1996,1140,,32,
5/11/1996,0025,1252,33,36
6/11/1996,0130,1355,40,46
7/11/1996,0225,1448,51,57
8/11/1996,0311,1533,63,69
9/11/1996,0354,1615,74,79
10/11/1996,0434,1654,83,87
11/11/1996,0512,1732,90,93
12/11/1996,0550,1810,94,95
13/11/1996,0628,1850,95,94
14/11/1996,0710,1933,91,88
15/11/1996,0755,2021,84,80
16/11/1996,0846,2116,75,70
17/11/1996,0945,2223,64,60
18/11/1996,1056,2342,57,55
19/11/1996,1214,,55,
20/11/1996,0058,1326,57,61
21/11/1996,0203,1428,65,70
22/11/1996,0259,1522,74,79
23/11/1996,0348,1610,83,86
24/11/1996,0432,1653,88,90
25/11/1996,0512,1733,91,91
26/11/1996,0551,1812,90,89
27/11/1996,0628,1849,87,84
28/11/1996,0704,1925,81,77
29/11/1996,0739,2000,73,69
30/11/1996,0813,2037,64,59
1/12/1996,0852,2120,54,49
2/12/1996,0939,2214,45,41
3/12/1996,1039,2321,38,37
4/12/1996,1148,,37,
5/12/1996,0030,1256,38,41
6/12/1996,0133,1358,45,50
7/12/1996,0229,1454,55,61
8/12/1996,0319,1543,67,73
9/12/1996,0406,1630,78,83
10/12/1996,0450,1714,88,92
11/12/1996,0533,1757,95,97
12/12/1996,0617,1841,99,99
13/12/1996,0702,1927,99,97
14/12/1996,0749,2015,94,91
15/12/1996,0839,2108,86,81
16/12/1996,0934,2207,76,71
17/12/1996,1037,2317,66,62
18/12/1996,1147,,59,
19/12/1996,0027,1256,57,57
20/12/1996,0134,1402,58,60
21/12/1996,0234,1501,63,66
22/12/1996,0328,1552,70,73
23/12/1996,0414,1636,76,78
24/12/1996,0455,1717,81,82
25/12/1996,0533,1754,83,84
26/12/1996,0610,1831,83,83
27/12/1996,0646,1906,82,80
28/12/1996,0719,1939,78,75
29/12/1996,0752,2012,72,68
30/12/1996,0826,2048,65,61
31/12/1996,0904,2130,57,53
1/1/1997,0950,2222,49,46
2/1/1997,1047,2325,43,41
3/1/1997,1154,,40,
4/1/1997,0035,1305,41,44
5/1/1997,0143,1413,48,53
6/1/1997,0245,1514,59,66
7/1/1997,0341,1608,72,79
8/1/1997,0431,1658,85,91
9/1/1997,0519,1745,97,101
10/1/1997,0606,1832,104,107
11/1/1997,0652,1917,108,107
12/1/1997,0739,2004,106,103
13/1/1997,0826,2052,98,93
14/1/1997,0916,2143,87,80
15/1/1997,1011,2242,73,67
16/1/1997,1113,2349,60,55
17/1/1997,1221,,52,
18/1/1997,0059,1332,50,50
19/1/1997,0208,1440,51,54
20/1/1997,0310,1537,58,62
21/1/1997,0400,1623,66,70
22/1/1997,0441,1702,73,76
23/1/1997,0518,1738,79,81
24/1/1997,0553,1812,83,84
25/1/1997,0626,1845,84,84
26/1/1997,0659,1916,83,82
27/1/1997,0730,1946,80,78
28/1/1997,0800,2018,75,72
29/1/1997,0834,2055,68,64
30/1/1997,0913,2138,60,56
31/1/1997,1001,2233,51,47
1/2/1997,1102,2342,44,42
2/2/1997,1216,,42,
3/2/1997,0059,1336,43,47
4/2/1997,0214,1449,53,60
5/2/1997,0319,1549,68,78
6/2/1997,0414,1642,84,92
7/2/1997,0504,1731,99,105
8/2/1997,0552,1818,110,113
9/2/1997,0638,1903,116,116
10/2/1997,0723,1946,114,111
11/2/1997,0807,2029,107,101
12/2/1997,0852,2114,93,86
13/2/1997,0940,2204,77,69
14/2/1997,1035,2306,60,53
15/2/1997,1142,,47,
16/2/1997,0019,1259,43,41
17/2/1997,0138,1419,41,44
18/2/1997,0251,1521,49,54
19/2/1997,0343,1607,59,64
20/2/1997,0424,1644,68,73
21/2/1997,0459,1717,76,80
22/2/1997,0532,1749,82,84
23/2/1997,0604,1821,86,87
24/2/1997,0635,1851,87,87
25/2/1997,0705,1921,86,85
26/2/1997,0735,1951,83,90
27/2/1997,0807,2026,77,73
28/2/1997,0844,2107,68,63
1/3/1997,0930,2157,58,53
2/3/1997,1027,2303,48,45
3/3/1997,1141,,42,
4/3/1997,0023,1308,42,45
5/3/1997,0148,1429,50,58
6/3/1997,0258,1532,66,75
7/3/1997,0356,1625,84,93
8/3/1997,0447,1713,100,107
9/3/1997,0534,1759,112,116
10/3/1997,0620,1843,118,118
11/3/1997,0703,1924,116,113
12/3/1997,0745,2004,108,102
13/3/1997,0826,2044,94,86
14/3/1997,0908,2128,77,68
15/3/1997,0958,2223,59,52
16/3/1997,1103,2335,44,39
17/3/1997,1221,,36,
18/3/1997,0058,1348,36,38
19/3/1997,0221,1455,42,47
20/3/1997,0317,1541,53,58
21/3/1997,0358,1617,64,69
22/3/1997,0433,1650,73,77
23/3/1997,0505,1722,81,84
24/3/1997,0538,1754,86,88
25/3/1997,0609,1825,89,89
26/3/1997,0640,1856,89,89
27/3/1997,0711,1927,87,85
28/3/1997,0744,2003,82,78
29/3/1997,0823,2045,73,69
30/3/1997,1009,2236,63,58
31/3/1997,1107,2340,53,48
1/4/1997,1221,,45,
2/4/1997,0100,1349,45,47
3/4/1997,0226,1510,52,58
4/4/1997,0338,1612,67,75
5/4/1997,0436,1705,84,91
6/4/1997,0527,1753,98,104
7/4/1997,0614,1837,108,111
8/4/1997,0658,1920,113,112
9/4/1997,0741,2001,111,108
10/4/1997,0821,2039,103,97
11/4/1997,0900,2117,90,83
12/4/1997,0940,2158,75,67
13/4/1997,1026,2246,59,52
14/4/1997,1124,2351,45,40
15/4/1997,1238,,36,
16/4/1997,0109,1356,34,35
17/4/1997,0226,1508,38,42
18/4/1997,0332,1600,47,52
19/4/1997,0419,1640,58,63
20/4/1997,0458,1716,68,72
21/4/1997,0534,1752,76,80
22/4/1997,0609,1826,83,85
23/4/1997,0644,1900,87,89
24/4/1997,0716,1932,89,89
25/4/1997,0750,2007,88,87
26/4/1997,0826,2046,84,91
27/4/1997,0908,2131,77,73
28/4/1997,0957,2224,68,63
29/4/1997,1055,2327,58,54
30/4/1997,1208,,52,
1/5/1997,0043,1333,51,52
2/5/1997,0204,1448,55,61
3/5/1997,0316,1550,67,73
4/5/1997,0414,1643,80,86
5/5/1997,0506,1730,91,95
6/5/1997,0553,1814,99,101
7/5/1997,0636,1857,102,101
8/5/1997,0718,1937,100,98
9/5/1997,0759,2016,94,90
10/5/1997,0838,2054,85,80
11/5/1997,0916,2132,74,68
12/5/1997,0957,2215,61,55
13/5/1997,1046,2308,49,44
14/5/1997,1148,,40,
15/5/1997,0015,1258,37,36
16/5/1997,0124,1405,36,38
17/5/1997,0229,1504,42,46
18/5/1997,0326,1554,50,55
19/5/1997,0416,1639,60,65
20/5/1997,0500,1719,69,74
21/5/1997,0540,1758,78,81
22/5/1997,0618,1836,84,86
23/5/1997,0655,1913,88,89
24/5/1997,0734,1952,89,89
25/5/1997,0814,2035,88,86
26/5/1997,0859,2123,83,79
27/5/1997,0949,2215,75,71
28/5/1997,1046,2316,67,63
29/5/1997,1154,,60,
30/5/1997,0026,1311,59,58
31/5/1997,0141,1423,59,61
1/6/1997,0249,1525,64,68
2/6/1997,0349,1619,72,76
3/6/1997,0443,1708,80,83
4/6/1997,0531,1753,86,88
5/6/1997,0616,1836,89,89
6/6/1997,0658,1916,89,88
7/6/1997,0738,1955,86,84
8/6/1997,0817,2033,81,78
9/6/1997,0853,2108,74,70
10/6/1997,0929,2146,65,61
11/6/1997,1009,2229,56,52
12/6/1997,1058,2321,48,44
13/6/1997,1157,,41,
14/6/1997,0024,1302,39,39
15/6/1997,0129,1406,39,41
16/6/1997,0231,1505,44,48
17/6/1997,0330,1558,53,57
18/6/1997,0423,1647,62,67
19/6/1997,0511,1732,72,77
20/6/1997,0555,1815,81,85
21/6/1997,0638,1858,88,91
22/6/1997,0721,1941,92,94
23/6/1997,0805,2026,94,93
24/6/1997,0851,2114,92,89
25/6/1997,0940,2205,86,82
26/6/1997,1033,2301,78,73
27/6/1997,1134,,69,
28/6/1997,0005,1243,65,62
29/6/1997,0114,1353,60,59
30/6/1997,0221,1458,59,60
1/7/1997,0326,1558,62,65
2/7/1997,0424,1650,68,71
3/7/1997,0514,1736,74,77
4/7/1997,0559,1818,79,80
5/7/1997,0641,1858,81,82
6/7/1997,0719,1935,82,81
7/7/1997,0755,2011,80,79
8/7/1997,0829,2044,77,74
9/7/1997,0902,2117,71,68
10/7/1997,0935,2153,64,60
11/7/1997,1014,2234,56,53
12/7/1997,1100,2325,49,46
13/7/1997,1158,,43,
14/7/1997,0027,1306,41,40
15/7/1997,0135,1414,41,43
16/7/1997,0243,1518,46,51
17/7/1997,0347,1616,56,62
18/7/1997,0444,1709,68,74
19/7/1997,0535,1757,80,86
20/7/1997,0623,1843,91,95
21/7/1997,0709,1929,99,101
22/7/1997,0753,2014,103,103
23/7/1997,0838,2100,102,100
24/7/1997,0924,2148,97,92
25/7/1997,1013,2239,87,81
26/7/1997,1107,2338,74,68
27/7/1997,1211,,62,
28/7/1997,0044,1321,57,53
29/7/1997,0154,1432,51,51
30/7/1997,0305,1540,53,55
31/7/1997,0409,1637,59,63
1/8/1997,0502,1723,67,70
2/8/1997,0545,1803,73,76
3/8/1997,0623,1840,78,80
4/8/1997,0658,1913,81,82
5/8/1997,0731,1946,82,82
6/8/1997,0803,2017,81,79
7/8/1997,0834,2048,77,75
8/8/1997,0904,2119,72,68
9/8/1997,0937,2155,64,61
10/8/1997,1016,2238,56,52
11/8/1997,1105,2334,48,44
12/8/1997,1210,,41,
13/8/1997,0045,1325,40,40
14/8/1997,0202,1442,42,46
15/8/1997,0317,1550,52,59
16/8/1997,0422,1648,67,74
17/8/1997,0516,1739,82,89
18/8/1997,0606,1827,96,102
19/8/1997,0652,1913,107,110
20/8/1997,0737,1958,112,112
21/8/1997,0821,2042,111,108
22/8/1997,0904,2126,104,98
23/8/1997,0948,2213,91,84
24/8/1997,1036,2307,75,67
25/8/1997,1135,,59,
26/8/1997,0012,1247,52,47
27/8/1997,0127,1406,44,43
28/8/1997,0245,1523,45,48
29/8/1997,0355,1623,52,58
30/8/1997,0447,1708,62,67
31/8/1997,0528,1745,71,75
1/9/1997,0602,1817,78,80
2/9/1997,0634,1849,82,84
3/9/1997,0705,1920,85,85
4/9/1997,0736,1950,85,84
5/9/1997,0805,2019,82,80
6/9/1997,0834,2049,77,74
7/9/1997,0906,2123,71,67
8/9/1997,0943,2205,62,57
9/9/1997,1030,2257,52,48
10/9/1997,1131,,43,
11/9/1997,0007,1248,40,39
12/9/1997,0130,1412,41,45
13/9/1997,0254,1527,51,59
14/9/1997,0401,1627,68,76
15/9/1997,0457,1719,85,93
16/9/1997,0546,1808,101,107
17/9/1997,0633,1853,112,115
18/9/1997,0717,1938,117,116
19/9/1997,0759,2020,114,111
20/9/1997,0841,2103,105,99
21/9/1997,0923,2147,91,83
22/9/1997,1007,2236,74,65
23/9/1997,1101,2340,56,49
24/9/1997,1212,,43,
25/9/1997,0057,1334,39,38
26/9/1997,0219,1457,39,43
27/9/1997,0331,1559,48,54
28/9/1997,0423,1643,59,64
29/9/1997,0502,1719,69,73
30/9/1997,0535,1750,77,80
1/10/1997,0606,1822,82,84
2/10/1997,0638,1853,86,86
3/10/1997,0709,1924,87,86
4/10/1997,0739,1954,85,84
5/10/1997,0809,2024,81,79
6/10/1997,0841,2100,75,71
7/10/1997,0920,2142,66,61
8/10/1997,1007,2236,56,51
9/10/1997,1107,2345,46,43
10/10/1997,1223,,42,
11/10/1997,0109,1348,43,47
12/10/1997,0234,1504,53,61
13/10/1997,0340,1605,69,78
14/10/1997,0435,1658,87,94
15/10/1997,0525,1747,101,107
16/10/1997,0611,1832,111,113
17/10/1997,0655,1916,114,113
18/10/1997,0737,1959,111,107
19/10/1997,0819,2041,102,96
20/10/1997,0859,2123,88,81
21/10/1997,0941,2209,72,64
22/10/1997,1029,2306,56,49
23/10/1997,1134,,43,
24/10/1997,0019,1251,38,36
25/10/1997,0136,1408,37,39
26/10/1997,0249,1417,43,48
27/10/1997,0245,1506,53,58
28/10/1997,0326,1545,63,68
29/10/1997,0402,1620,72,76
30/10/1997,0436,1654,79,82
31/10/1997,0511,1728,84,85
1/11/1997,0544,1801,86,87
2/11/1997,0615,1832,86,85
3/11/1997,0648,1906,84,82
4/11/1997,0724,1945,79,75
5/11/1997,0806,2030,71,67
6/11/1997,0855,2124,62,57
7/11/1997,0953,2230,53,50
8/11/1997,1104,2350,48,48
9/11/1997,1225,,51,
10/11/1997,0111,1340,56,62
11/11/1997,0217,1442,69,76
12/11/1997,0313,1536,83,90
13/11/1997,0403,1626,95,100
14/11/1997,0449,1712,103,105
