DATE,PM1,PM2,COEFF1,COEFF2
16/9/1980,1002,2225,53,48
17/9/1980,1053,2325,43,38
18/9/1980,1205,,35,
19/9/1980,0046,1329,34,35
20/9/1980,0213,1450,39,46
21/9/1980,0328,1555,54,62
22/9/1980,0427,1649,71,80
23/9/1980,0517,1737,88,96
24/9/1980,0603,1823,103,108
25/9/1980,0647,1907,113,115
26/9/1980,0730,1950,116,115
27/9/1980,0811,2033,112,108
28/9/1980,0753,2017,102,95
29/9/1980,0837,2105,87,78
30/9/1980,0927,2202,69,60
1/10/1980,1031,2316,52,46
2/10/1980,1153,,42,
3/10/1980,0041,1316,41,43
4/10/1980,0200,1430,46,51
5/10/1980,0301,1524,57,62
6/10/1980,0346,1605,67,72
7/10/1980,0423,1639,76,79
8/10/1980,0456,1710,82,84
9/10/1980,0525,1740,86,86
10/10/1980,0556,1811,87,86
11/10/1980,0626,1841,85,84
12/10/1980,0655,1910,81,79
13/10/1980,0724,1940,75,72
14/10/1980,0757,2016,67,62
15/10/1980,0837,2100,57,52
16/10/1980,0928,2200,47,42
17/10/1980,1035,2317,39,37
18/10/1980,1156,,38,
19/10/1980,0045,1319,41,48
20/10/1980,0201,1427,55,64
21/10/1980,0301,1524,73,82
22/10/1980,0352,1614,90,98
23/10/1980,0440,1701,104,109
24/10/1980,0525,1746,113,115
25/10/1980,0608,1830,115,114
26/10/1980,0651,1914,111,106
27/10/1980,0734,1958,100,93
28/10/1980,0818,2045,85,77
29/10/1980,0906,2140,68,60
30/10/1980,1006,2249,52,46
31/10/1980,1121,,42,
1/11/1980,0006,1238,40,41
2/11/1980,0121,1352,43,47
3/11/1980,0226,1450,52,57
4/11/1980,0313,1533,61,66
5/11/1980,0351,1608,70,74
6/11/1980,0424,1641,77,79
7/11/1980,0456,1714,81,83
8/11/1980,0529,1747,84,84
9/11/1980,0602,1818,84,83
10/11/1980,0633,1849,82,80
11/11/1980,0704,1922,77,74
12/11/1980,0740,2000,71,67
13/11/1980,0822,2047,62,58
14/11/1980,0914,2145,54,50
15/11/1980,1016,2255,46,45
16/11/1980,1129,,45,
17/11/1980,0016,1248,47,51
18/11/1980,0131,1358,57,64
19/11/1980,0233,1458,72,80
20/11/1980,0327,1551,87,93
21/11/1980,0416,1640,99,103
22/11/1980,0503,1727,106,108
23/11/1980,0548,1813,108,107
24/11/1980,0633,1857,105,101
25/11/1980,0717,1942,96,91
26/11/1980,0801,2027,84,78
27/11/1980,0847,2116,70,64
28/11/1980,0938,2213,57,51
29/11/1980,1040,2319,46,43
30/11/1980,1146,,41,
1/12/1980,0025,1253,40,42
2/12/1980,0130,1357,44,48
3/12/1980,0227,1450,52,56
4/12/1980,0312,1533,60,64
5/12/1980,0352,1612,68,71
6/12/1980,0430,1650,74,77
7/12/1980,0506,1726,79,80
8/12/1980,0541,1801,82,82
9/12/1980,0616,1835,82,82
10/12/1980,0651,1911,81,79
11/12/1980,0730,1952,77,75
12/12/1980,0813,2038,72,68
13/12/1980,0903,2131,65,61
14/12/1980,0958,2233,58,56
15/12/1980,1103,2345,54,54
16/12/1980,1216,,55,
17/12/1980,0100,1328,58,62
18/12/1980,0205,1433,67,72
19/12/1980,0303,1530,78,83
20/12/1980,0356,1622,88,92
21/12/1980,0445,1711,95,97
22/12/1980,0532,1758,99,99
23/12/1980,0618,1843,98,97
24/12/1980,0702,1926,94,90
25/12/1980,0745,2008,86,81
26/12/1980,0825,2048,76,70
27/12/1980,0906,2130,65,59
28/12/1980,0952,2221,54,49
29/12/1980,1047,2322,44,41
30/12/1980,1150,,39,
31/12/1980,0026,1254,38,39
1/1/1981,0131,1358,41,44
2/1/1981,0230,1456,48,52
3/1/1981,0320,1544,57,61
4/1/1981,0404,1627,65,70
5/1/1981,0445,1707,73,77
6/1/1981,0524,1746,80,83
7/1/1981,0602,1823,85,87
8/1/1981,0641,1902,88,88
9/1/1981,0721,1943,88,87
10/1/1981,0803,2026,85,82
11/1/1981,0849,2114,79,76
12/1/1981,0939,2208,72,68
13/1/1981,1037,2312,64,60
14/1/1981,1146,,58,
15/1/1981,0027,1300,57,57
16/1/1981,0139,1411,59,62
17/1/1981,0244,1514,66,71
18/1/1981,0341,1609,76,80
19/1/1981,0433,1659,84,88
20/1/1981,0520,1745,91,93
21/1/1981,0605,1828,94,94
22/1/1981,0646,1907,93,92
23/1/1981,0724,1943,89,86
24/1/1981,0759,2016,82,78
25/1/1981,0832,2050,73,68
26/1/1981,0908,2128,62,57
27/1/1981,0950,2217,51,46
28/1/1981,1045,2320,41,38
29/1/1981,1152,,35,
30/1/1981,0031,1304,34,34
31/1/1981,0143,1415,37,41
1/2/1981,0247,1515,46,52
2/2/1981,0338,1604,58,64
3/2/1981,0424,1648,70,75
4/2/1981,0507,1729,81,86
5/2/1981,0548,1809,90,94
6/2/1981,0627,1849,97,99
7/2/1981,0707,1928,100,100
8/2/1981,0748,2010,99,97
9/2/1981,0831,2054,93,88
10/2/1981,0918,2143,83,77
11/2/1981,1012,2241,70,64
12/2/1981,1118,2356,58,53
13/2/1981,1237,,51,
14/2/1981,0116,1355,50,52
15/2/1981,0232,1505,56,61
16/2/1981,0333,1602,66,72
17/2/1981,0424,1649,77,82
18/2/1981,0509,1731,86,89
19/2/1981,0549,1809,91,92
20/2/1981,0625,1843,93,93
21/2/1981,0659,1915,91,90
22/2/1981,0729,1945,87,83
23/2/1981,0759,2014,79,75
24/2/1981,0830,2047,69,64
25/2/1981,0905,2125,58,53
26/2/1981,0947,2214,47,42
27/2/1981,1045,2324,37,33
28/2/1981,1204,,31,
1/3/1981,0047,1329,31,34
2/3/1981,0205,1443,39,45
3/3/1981,0307,1538,52,60
4/3/1981,0358,1624,68,76
5/3/1981,0443,1708,83,90
6/3/1981,0526,1750,97,102
7/3/1981,0608,1830,106,109
8/3/1981,0649,1910,111,111
9/3/1981,0729,1950,109,106
10/3/1981,0812,2033,102,96
11/3/1981,0857,2120,88,81
12/3/1981,0950,2216,72,64
13/3/1981,1056,2331,56,50
14/3/1981,1219,,46,
15/3/1981,0057,1344,44,46
16/3/1981,0218,1456,50,56
17/3/1981,0322,1550,61,67
18/3/1981,0411,1634,73,78
19/3/1981,0452,1711,82,85
20/3/1981,0527,1744,88,89
21/3/1981,0559,1815,91,91
22/3/1981,0630,1845,91,89
23/3/1981,0700,1915,88,85
24/3/1981,0729,1944,82,78
25/3/1981,0758,2013,73,69
26/3/1981,0830,2048,63,58
27/3/1981,0908,2132,52,47
28/3/1981,0959,2233,41,36
29/3/1981,1214,,33,
30/3/1981,0055,1343,31,33
31/3/1981,0220,1505,37,44
1/4/1981,0331,1606,51,60
2/4/1981,0427,1657,68,77
3/4/1981,0517,1743,86,93
4/4/1981,0602,1826,100,106
5/4/1981,0646,1908,111,114
6/4/1981,0728,1949,115,115
7/4/1981,0810,2031,113,109
8/4/1981,0853,2114,104,97
9/4/1981,0940,2201,89,81
10/4/1981,1032,2257,72,63
11/4/1981,1140,,55,
12/4/1981,0012,1301,49,44
13/4/1981,0135,1424,43,44
14/4/1981,0255,1535,48,53
15/4/1981,0400,1628,58,63
16/4/1981,0448,1710,68,72
17/4/1981,0527,1745,76,79
18/4/1981,0600,1816,82,84
19/4/1981,0631,1846,85,86
20/4/1981,0702,1917,86,86
21/4/1981,0733,1948,85,83
22/4/1981,0803,2017,81,78
23/4/1981,0832,2047,74,70
24/4/1981,0904,2123,66,62
25/4/1981,0944,2208,56,52
26/4/1981,1035,2306,46,42
27/4/1981,1143,,39,
28/4/1981,0019,1305,37,38
29/4/1981,0139,1426,41,46
30/4/1981,0253,1532,53,61
1/5/1981,0355,1626,69,77
2/5/1981,0448,1715,86,93
3/5/1981,0537,1801,99,105
4/5/1981,0623,1846,109,111
5/5/1981,0708,1929,112,112
6/5/1981,0753,2013,109,106
7/5/1981,0838,2058,101,94
8/5/1981,0925,2147,87,80
9/5/1981,1018,2243,71,64
10/5/1981,1122,2351,57,51
11/5/1981,1234,,47,
12/5/1981,0104,1348,45,44
13/5/1981,0216,1458,46,49
14/5/1981,0322,1553,52,57
15/5/1981,0414,1636,61,64
16/5/1981,0454,1712,68,71
17/5/1981,0529,1745,73,76
18/5/1981,0602,1818,77,79
19/5/1981,0636,1851,79,80
20/5/1981,0709,1924,80,79
21/5/1981,0741,1956,78,76
22/5/1981,0812,2029,74,72
23/5/1981,0847,2107,68,65
24/5/1981,0929,2153,61,58
25/5/1981,1020,2248,54,51
26/5/1981,1121,2352,48,46
27/5/1981,1232,,46,
28/5/1981,0103,1348,48,51
29/5/1981,0216,1456,56,62
30/5/1981,0322,1555,68,75
31/5/1981,0420,1648,82,88
1/6/1981,0513,1738,93,98
2/6/1981,0602,1825,101,103
3/6/1981,0650,1912,104,104
4/6/1981,0737,1959,103,100
